Country,Rate,Intercept,Use
Belgium,-45.864494865412,1880.124761460534,True
Czechia,-13.188478329999878,392.57479609999916,True
France,-19.816985499999923,801.0311781999994,True
Germany,-43.358021219503435,1878.784012743576,True
Greece,86.87357494712376,-3514.3834138783645,False
Italy,54.80132958334333,-1460.3534384275933,False
Netherlands,-1.1147402769999344,-9.430621970002122,False
Poland,-53.7868962873242,2013.4257036035453,True
Portugal,8.828244242609266,-935.5572631850046,False
Romania,-1.040092859999934,-14.365043739999578,False
Russia,-0.02640735999994459,-6.780610360000274,False
Spain,37.7293248016875,-1900.2229139409847,False
Sweden,-31.972704499999942,814.1567791999994,True
Ukraine,-71.93989967291643,2749.2505968743444,True
United Kingdom,-0.07552780699994877,-55.86150400000031,False
United States,28.954308003715695,-1668.631158240464,False
Canada,-50.55490459670257,1357.5780387892798,True
Norway,-57.08240524199075,1877.4068242170656,True
